TIME,CCI,BCI,CLI
2008-12,98.38761,98.80476,94.8521
2009-01,98.12202,98.53765,94.85471
2009-02,97.93476,98.18701,95.11113
2009-03,97.93073,97.855,95.61932
2009-04,98.2399,97.62597,96.36371
2009-05,98.57109,97.50475,97.25765
2009-06,98.7298,97.51451,98.23011
2009-07,98.89355,97.68668,99.22512
2009-08,99.15917,97.92001,100.183
2009-09,99.40652,98.09709,101.0226
2009-10,99.56591,98.13976,101.697
2009-11,99.82111,98.12066,102.1703
2009-12,100.0823,98.14189,102.4548
2010-01,100.2363,98.27534,102.581
2010-02,100.2438,98.46272,102.5736
2010-03,100.1876,98.61834,102.4467
2010-04,100.0814,98.67795,102.2245
2010-05,100.0725,98.67931,101.9328
2010-06,100.0985,98.67635,101.6173
2010-07,100.208,98.71156,101.3172
2010-08,100.3235,98.79275,101.0783
2010-09,100.4261,98.93645,100.9096
2010-10,100.5133,99.1656,100.7994
2010-11,100.5422,99.4445,100.7331
2010-12,100.5634,99.73839,100.6943
2011-01,100.7556,100.0233,100.6607
2011-02,100.9367,100.2807,100.6134
2011-03,100.9315,100.4754,100.5142
2011-04,100.7951,100.5602,100.3411
2011-05,100.6252,100.5439,100.1051
2011-06,100.4414,100.4065,99.7851
2011-07,100.2165,100.1154,99.40932
2011-08,99.7672,99.76283,99.0001
2011-09,99.17129,99.46316,98.60894
2011-10,98.63824,99.31194,98.28777
2011-11,98.25967,99.29182,98.0726
2011-12,98.05531,99.39754,97.97288
2012-01,98.02993,99.62975,97.9763
2012-02,98.102,99.86311,98.02924
2012-03,98.18421,99.92904,98.10684
2012-04,98.26766,99.69722,98.19082
2012-05,98.21094,99.32471,98.28019
2012-06,98.26322,99.01528,98.40733
2012-07,98.45933,98.91953,98.57965
2012-08,98.60421,98.97186,98.78462
2012-09,98.64661,99.09122,99.0172
2012-10,98.51579,99.2338,99.24596
2012-11,98.16183,99.37856,99.44379
2012-12,97.93457,99.516,99.60674
2013-01,97.85323,99.6345,99.76237
2013-02,97.78765,99.71423,99.90345
2013-03,97.94405,99.71356,100.0584
2013-04,98.21375,99.59435,100.2415
2013-05,98.40279,99.42757,100.4633
2013-06,98.44003,99.30258,100.7314
2013-07,98.49142,99.28394,101.0362
2013-08,98.72977,99.3264,101.3345
2013-09,98.98009,99.37228,101.5847
2013-10,99.34507,99.38777,101.7624
2013-11,99.74343,99.39581,101.8758
2013-12,100.0044,99.43426,101.9359
2014-01,100.1218,99.52173,101.9719
2014-02,100.1585,99.59283,102.0026
2014-03,100.2946,99.5419,102.0272
2014-04,100.4321,99.28321,102.039
2014-05,100.6104,98.93307,102.0215
2014-06,100.7122,98.64861,101.971
2014-07,100.7545,98.55791,101.8771
2014-08,100.7492,98.62466,101.7467
2014-09,100.7628,98.81747,101.5944
2014-10,100.7464,99.12195,101.4488
2014-11,100.6599,99.42655,101.3132
2014-12,100.5903,99.58563,101.1907
2015-01,100.58,99.48221,101.0839
2015-02,100.6232,99.23635,100.9983
2015-03,100.7685,98.99367,100.9277
2015-04,100.8543,98.85621,100.8682
2015-05,100.9526,98.81018,100.8143
2015-06,101.0618,98.83718,100.7485
2015-07,101.0917,98.93397,100.6506
2015-08,101.1125,99.05921,100.5267
2015-09,101.0489,99.16795,100.3903
2015-10,100.9539,99.21755,100.2628
2015-11,100.9159,99.19024,100.1432
2015-12,100.7953,99.04348,100.0207
2016-01,100.5839,98.73726,99.87172
2016-02,100.3975,98.38088,99.70476
2016-03,100.2456,98.11926,99.537
2016-04,100.2825,98.06931,99.37662
2016-05,100.3893,98.16171,99.24518
2016-06,100.5505,98.32199,99.1629
2016-07,100.646,98.50944,99.15605
2016-08,100.7772,98.68803,99.25906
2016-09,100.9602,98.82269,99.43308
2016-10,101.1137,98.88439,99.60774
2016-11,101.2899,98.89931,99.76057
2016-12,101.4841,98.88703,99.88301
2017-01,101.6698,98.84568,99.95448
2017-02,101.7977,98.76418,99.97466
2017-03,101.8118,98.61111,99.93837
2017-04,101.7516,98.36375,99.85323
2017-05,101.6736,98.10862,99.77814
2017-06,101.6836,97.97391,99.71445
2017-07,101.7486,98.06962,99.65365
2017-08,101.8151,98.30737,99.57674
2017-09,101.8454,98.59338,99.47153
2017-10,101.9074,95.01884,
