,polarity,subjectivity,pos,neg,neu
7/1/11,-0.049007937,0.085912698,0.044214286,0.058142857,0.897642857
7/15/11,0.038047138,0.143799102,0.156481481,0.074777778,0.768777778
7/29/11,0.031026171,0.101652893,0.041863636,0.052863636,0.905295455
8/12/11,0.027208253,0.128755642,0.062212766,0.035617021,0.902191489
8/26/11,0.104386457,0.256939768,0.094814815,0.084166667,0.821018519
9/9/11,-0.002407407,0.173611111,0.128694444,0.038472222,0.832861111
9/23/11,0.040737564,0.128873642,0.153339623,0.087245283,0.759433962
10/7/11,0.020861392,0.163468013,0.024555556,0.108203704,0.867259259
10/21/11,0.0675,0.364166667,0.051033333,0.0848,0.864166667
11/4/11,0.044558081,0.30635101,0.05187381,0.125828572,0.822297619
11/18/11,0.021616161,0.248535354,0.052714286,0.166857143,0.780428571
12/2/11,-0.001325758,0.190719697,0.050416667,0.17675,0.772875
12/16/11,0.043576067,0.193042672,0.111107143,0.087678571,0.80125
12/30/11,0.096296296,0.162962963,0.084666667,0.089555556,0.825777778
1/13/12,0.033333333,0.111111111,0.055111111,0.030888889,0.914
1/27/12,0.0225,0.105833333,0.1381,0.10185,0.75995
2/10/12,0.06767184,0.144190687,0.09795122,0.10097561,0.80104878
2/24/12,0.09685774,0.206821914,0.085517241,0.050827586,0.863655172
3/9/12,0.0384329,0.30169697,0.041971429,0.023885714,0.934142857
3/23/12,-0.024514375,0.29008029,0.105205128,0.092025641,0.802769231
4/6/12,0.039625668,0.237513369,0.082882353,0.043411765,0.873705882
4/20/12,0.022225936,0.137934492,0.155235294,0.0365,0.808264706
5/4/12,0.04691358,0.116049383,0.094833333,0.007944444,0.897222222
5/18/12,-0.031912879,0.208901515,0.0541875,0.07125,0.8745
6/1/12,0.040227273,0.094924242,0.03195,0.1575,0.8106
6/15/12,0.00802139,0.056149733,0.023029412,0.100294118,0.876676471
6/29/12,-0.002813853,0.109350649,0.063428571,0.178342857,0.758285714
7/13/12,0.016955267,0.248845599,0.104095238,0.112333333,0.783571429
7/27/12,0.011347518,0.22677305,0.051042553,0.049276596,0.899680851
8/10/12,0.120723363,0.2757087,0.117516129,0.03083871,0.851645161
8/24/12,0.088426768,0.236542929,0.11662,0.06514,0.81824
9/7/12,0.045454545,0.368181818,0.04,0.1622,0.7978
9/21/12,0.062215562,0.156693307,0.052487179,0.127512821,0.82
10/5/12,-0.002,0.02,0.0976,0.1302,0.7722
10/19/12,-0.025154321,0.096682099,0.123138889,0.071861111,0.805
11/2/12,0.061118126,0.198042929,0.056361111,0.094666667,0.848972222
11/16/12,0.104444444,0.151904762,0.062666667,0.02547619,0.911857143
11/30/12,0.036309524,0.20952381,0.06975,0.089035714,0.841214286
12/14/12,0.023541667,0.103333333,0.066525,0.1317,0.801775
12/28/12,-0.032467532,0.191774892,0.0635,0.140428571,0.795928571
1/11/13,-0.065286195,0.158531145,0.124030303,0.135757576,0.740212121
1/25/13,-0.012755102,0.154421769,0.065020408,0.145367347,0.789612245
2/8/13,-0.028,0.1385,0.07906,0.07524,0.8457
2/22/13,-0.056818182,0.166558442,0.0502,0.154342857,0.7954
3/8/13,-0.072727273,0.145454545,0.038727273,0.095409091,0.865863636
3/22/13,0.008716578,0.037094474,0.121294118,0.052294118,0.826411765
