,polarity,subjectivity,pos,neg,neu
7/15/11,0.010839161,0.144677545,0.135307692,0.018564103,0.846128205
7/29/11,-0.02,0.227692308,0.169461538,0.023670941,0.830538462
8/12/11,0.202787879,0.551959596,0.088,0.028777778,0.883222222
8/26/11,0.078070175,0.107017544,0.156315789,0.044037037,0.843684211
9/9/11,0.044668911,0.073176207,0.159,0.059296296,0.781740741
9/23/11,0.088513037,0.160676533,0.141511628,0.059139535,0.799348837
10/7/11,-0.016259355,0.264862076,0.130934386,0.107891196,1
10/21/11,-0.121031746,0.369047619,0.120357143,0.156642857,0.723
11/4/11,-0.035515873,0.28452381,0.133303572,0.174303571,0.788375
11/18/11,0.05,0.2,0.14625,0.191964286,0.85375
12/2/11,0.075,0.1,0.1215,0.209625,0.668875
12/16/11,0.3375,0.5,0.431,0.2028125,0.569
12/30/11,0.6,0.9,0.268,0.196,0.536
1/13/12,0.428888889,0.487037037,0.271611111,0.184944445,0.543555556
1/27/12,0.257777778,0.074074074,0.275222222,0.173888889,0.551111111
2/10/12,0.086666667,0.18,0.1266,0.269592593,0.8734
2/24/12,-0.056666667,0.29,0.143828571,0.365296296,0.7062
3/9/12,-0.2,0.4,0.161057143,0.461,0.539
3/23/12,0.05,0.425,0.178285714,0.326925926,0.821714286
4/6/12,0.3,0.45,0.2145,0.192851852,0.7855
4/20/12,-0.033333333,0.340740741,0.266,0.058777778,0.675222222
5/4/12,-0.116666667,0.420370371,0.060555556,0.119513889,0.939444444
5/18/12,-0.2,0.5,0.1775,0.18025,0.64225
6/1/12,0.18,0.29,0.1532,0.1582,0.6884
6/15/12,0.14,0.195,0.1836,0.172133333,1
6/29/12,0.1,0.1,0.214,0.186066667,0.786
7/13/12,0.166666667,0.166666667,0.164666667,0.2,0.635333333
7/27/12,0.05661157,0.323553719,0.222818182,0.127,0.777181818
8/10/12,0.558333333,0.883333333,0.2335,0.054,0.7125
8/24/12,-0.022222222,0.1,0.142333333,0.072888889,0.784777778
9/7/12,0.139204545,0.336931818,0.241125,0.02475,0.734125
9/21/12,0.149197861,0.297326203,0.188058824,0.063176471,0.748764706
10/5/12,0.1875,0.1875,0.20525,0.0405625,0.7541875
10/19/12,0.036540404,0.081338384,0.1811,0.09745,0.7214
11/2/12,0.22,0.18,0.2162,0.0917,0.7838
11/16/12,0.145714285,0.147142857,0.1822,0.08595,0.7777
11/30/12,0.071428571,0.114285714,0.1482,0.0802,0.7716
12/14/12,0.092857143,0.114285714,0.176,0.068857143,0.755142857
12/28/12,-0.116666667,0.116666667,0.142,0.174833333,0.683
1/11/13,0.022376543,0.226003087,0.233666667,0.191333333,0.575
1/25/13,0.161419753,0.335339506,0.231888889,0.031666667,0.736444444
2/8/13,0.10567914,0.316683693,0.4635,0.101844445,0.5365
2/22/13,0.049938527,0.29802788,0.195,0.172022222,0.805
3/8/13,-0.005802087,0.279372066,0.1792,0.2422,0.5782
3/22/13,-0.0615427,0.260716253,0.204454545,0.022727273,0.772818182
4/5/13,-0.2,0.4,0.184616162,0.55,0.45
4/19/13,0.011111111,0.111111111,0.164777778,0.406733333,0.835222222
5/3/13,0.012222222,0.136666667,0.247,0.263466667,0.753
5/17/13,0.013333333,0.162222222,0.2422,0.1202,0.6376
5/31/13,0.060628342,0.163368984,0.151823529,0.027235294,0.820941176
6/14/13,0.019758616,0.230573381,0.1586,0.085417647,0.8414
6/28/13,-0.021111111,0.297777778,0.0616,0.1436,0.7948
7/12/13,0.144444444,0.344444444,0.255,0.303,0.441666667
7/26/13,0.016631313,0.367308081,0.1754,0.0168,0.8078
8/9/13,-0.007142857,0.207142857,0.061285714,0.023428571,0.915285714
8/23/13,0.068181818,0.227272727,0.113142857,0.137714286,0.5
9/6/13,0.027777777,0.75,0.165,0.252,0.583
9/20/13,-0.012626263,0.108585859,0.164777778,0.207,0.628222222
10/4/13,0.00479798,0.039141414,0.160444444,0.127722222,0.711833333
10/18/13,0.020328283,0.121927609,0.2464,0.0462,0.7077
11/1/13,0.035858586,0.204713805,0.165222222,0.046888889,0.787666667
11/15/13,0.15,0.3,0.2528,0.0432,0.704
11/29/13,-0.014814815,0.296296296,0.128944444,0.139333333,0.731722222
12/13/13,-0.05,0.016666667,0.066166667,0.154333333,0.779583333
12/27/13,0.007142857,0.132886905,0.081708334,0.113916667,0.804416667
1/10/14,0.064285714,0.249107143,0.09725,0.0735,0.82925
1/24/14,-0.04,0.46,0.1552,0.1404,0.7044
2/7/14,-0.1,0.2,0.146145455,0.098427273,1
2/21/14,0.090909091,0.027272727,0.137090909,0.056454545,0.715727273
3/7/14,0.1,0.1,0.1646,0.0352,0.7002
3/21/14,-0.036666667,0.31,0.123266667,0.115866667,0.760733333
4/4/14,-0.014444444,0.104444444,0.189,0.073733333,0.737333333
4/18/14,0.078125,0.145833333,0.1799375,0.0795625,0.7405
5/2/14,-0.009722222,0.018055556,0.053875,0.054392361,0.946125
5/16/14,0.046031746,0.114285714,0.206666667,0.029222222,0.764111111
5/30/14,-0.016203704,0.145833333,0.221,0.057333333,0.721666667
6/13/14,-0.021515152,0.119393939,0.13785,0.0826,0.86215
6/27/14,-0.013333333,0.243333333,0.138933333,0.107866667,0.7532
7/11/14,0.138888889,0.188888889,0.191111111,0.024444444,0.784444444
7/25/14,0.040572391,0.202571549,0.1453,0.059233333,0.795466667
8/8/14,-0.007508117,0.137784091,0.122142857,0.061357143,0.8165
8/22/14,-0.012015993,0.307638889,0.0425,0.020166667,0.937333333
9/5/14,0.00802139,0.097326203,0.022941176,0.076647059,0.900411765
9/19/14,0.004761905,0.114285714,0.1122,0.08,0.8078
10/3/14,0.015538847,0.186048454,0.211421053,0.042526316,0.693421053
10/17/14,0.019298246,0.229824561,0.234473684,0.062421053,0.703052632
10/31/14,0.009895833,0.3,0.118666667,0.0635,0.734666667
11/14/14,0.003632127,0.150932018,0.2596,0.084644737,0.7404
11/28/14,-0.002631579,0.001864035,0.180368421,0.105789474,0.714105263
12/12/14,0.009090909,0.03030303,0.158,0.231266667,0.6108
12/26/14,0.136363636,0.454545455,0.318,0.133870176,0.682
1/9/15,0.118500797,0.221610845,0.154263158,0.036473684,0.756631579
1/23/15,0.1,0.1,0.3384,0.151986842,0.6616
2/6/15,-0.2,0.2,0.2375,0.2675,0.4955
2/20/15,-0.02,0.2,0.0658,0.04,0.8942
3/6/15,-0.03,0.163888889,0.2205,0.049333333,0.7795
3/20/15,-0.04,0.127777778,0.13625,0.058666667,0.86375
4/3/15,-0.05,0.091666667,0.099833333,0.068,0.832166667
4/17/15,0.173809524,0.364285714,0.270333333,0.043,0.6865
5/1/15,-0.0075,0.0975,0.0495,0.1106,0.9505
5/15/15,-0.127777778,0.646666667,0.1534,0.1782,0.6684
5/29/15,0.068181818,0.227272727,0.0725,0.09605,0.9275
6/12/15,-0.16,0.22,0.084,0.0139,0.9021
6/26/15,-0.035195707,0.299810606,0.137055556,0.012555556,0.794944444
7/10/15,0.09047619,0.202380952,0.112428571,0.037642857,0.849928571
7/24/15,0.011060606,0.172424242,0.19625,0.0168,0.78695
8/7/15,0.049280303,0.096428571,0.062142857,0.027638095,0.795
8/21/15,0.0875,0.083333333,0.201166667,0.038476191,0.798833333
9/4/15,-0.014285714,0.132142857,0.154357143,0.049314286,0.774214286
9/18/15,0.030909091,0.276363636,0.118,0.060152381,0.782
10/2/15,-0.002741703,0.106204906,0.112857143,0.070990476,0.815714286
10/16/15,0.218181818,0.195454545,0.363909091,0.081828572,0.545181818
10/30/15,0.163510101,0.214285714,0.177666667,0.092666667,0.729333333
11/13/15,0.108838384,0.220337301,0.23375,0.041,0.72525
11/27/15,0.054166667,0.226388889,0.091875,0.05975,0.723375
12/11/15,0.06875,0.196527778,0.101604167,0.068944444,0.639354167
12/25/15,0.083333333,0.166666667,0.111333333,0.078138889,0.555333333
1/8/16,-0.083333333,0.15,0.121166667,0.087333333,0.791333333
1/22/16,0.148076923,0.220512821,0.207538462,0.019923077,0.695615385
2/5/16,-0.028846154,0.201923077,0.274384615,0.063769231,0.584769231
2/19/16,-0.014529915,0.142857143,0.121857143,0.057142857,0.821
3/4/16,-0.000213675,0.147649573,0.173384615,0.085,0.664692308
3/18/16,0.002424242,0.114747475,0.1144,0.0168,0.8688
4/1/16,0.073499703,0.265314914,0.121941176,0.10365,0.760411765
4/15/16,0.193181818,0.477272727,0.135,0.1905,0.674
4/29/16,0.035714286,0.047619048,0.268857143,0.061428571,0.669714286
5/13/16,0.084648569,0.290688131,0.12525,0.032666667,0.842
5/27/16,0.071428571,0.160714286,0.115,0.104142857,0.638
6/10/16,0.36,0.54,0.163,0.061960317,0.837
6/24/16,0.027777778,0.055555556,0.106111111,0.019777778,0.763
7/8/16,0.051212121,0.115151515,0.0579,0.0724,0.8697
7/22/16,-0.001871658,0.057486631,0.136470588,0.049117647,0.814411765
8/5/16,0.16,0.2,0.0878,0.0448,0.6674
8/19/16,0.081298702,0.194805195,0.207714286,0.043142857,0.749142857
9/2/16,0.002597403,0.18961039,0.114181818,0.088909091,0.706
9/16/16,0.01048951,0.111888112,0.071615385,0.033769231,0.817692308
9/30/16,0.029166667,0.154166667,0.127666667,0.048112821,0.872333333
10/14/16,0.021401516,0.099810606,0.125733334,0.06245641,0.835866667
10/28/16,0.013636364,0.045454545,0.1238,0.0768,0.7994
11/11/16,-0.008333333,0.091666667,0.209375,0.015875,0.64975
11/25/16,0.120833334,0.170833334,0.1635,0.0681875,0.3365
12/9/16,0.25,0.25,0.214,0.1205,0.6655
12/23/16,0.207272727,0.190909091,0.2026,0.095208333,0.7974
1/6/17,0.068181818,0.148106061,0.096833333,0.069916667,0.749916667
1/20/17,0.062727273,0.184507576,0.162066667,0.071908334,1
2/3/17,0.057272727,0.220909091,0.2273,0.0739,0.699
2/17/17,0.072272727,0.220909091,0.1548,0.0666,0.7787
3/3/17,-0.175,0.263333333,0.097,0.1924,0.711
3/17/17,0.06378367,0.124726431,0.1745,0.037625,0.704458333
3/31/17,0.09041847,0.187056277,0.1574,0.01,0.699266667
4/14/17,-0.06,0.06,0.1024,0.169133333,0.6618
4/28/17,-0.013584596,0.168546717,0.1709,0.0721,0.707
5/12/17,0.2,0.37,0.201,0.0674,0.7316
5/26/17,0.139772727,0.209659091,0.20025,0.054073684,0.79975
6/9/17,0.015384615,0.023076923,0.167846154,0.040747369,0.832153846
6/23/17,0.143421053,0.251754386,0.094526316,0.027421053,0.825421053
7/7/17,0.155113636,0.207133838,0.165958333,0.03025,0.762125
7/21/17,0.018870968,0.210698925,0.168741935,0.08016129,0.751096774
8/4/17,-0.000396825,0.157539683,0.126888889,0.1275,0.690055556
8/18/17,0.126923077,0.238461538,0.163230769,0.083076923,0.676846154
9/1/17,0.006672638,0.028481863,0.13062069,0.016551724,0.818344828
9/15/17,0.002238095,0.146047619,0.18588,0.04736,0.76684
9/29/17,0.028714226,0.145212542,0.078208333,0.041458333,0.880333333
10/13/17,0.085933014,0.220127592,0.177473684,0.091,0.731578947
10/27/17,0.051960784,0.299019608,0.175882353,0.040764706,0.724529412
11/10/17,0.029549964,0.206304113,0.176678571,0.049285714,0.738428571
11/24/17,0.0120671,0.262247475,0.2028,0.046,0.7512
