,polarity,subjectivity,pos,neg,neu
6/1/12,0.097368421,0.152631579,0.066842105,0.095684211,0.837473684
6/15/12,0.085162602,0.263211382,0.012731707,0.074756098,0.912512195
6/29/12,-0.014285714,0.085714286,0.028357143,0.117111383,0.971642857
7/13/12,0.06,0.071111111,0.080066667,0.159466667,0.760466667
7/27/12,0.021875,0.258333333,0.138166667,0.205333333,0.656458333
8/10/12,-0.049116162,0.200631313,0.05625,0.05675,0.887
8/24/12,0.075883838,0.223779461,0.121933333,0.043666667,0.8344
9/7/12,0.045349326,0.151704546,0.111077778,0.469,0.531
9/21/12,0.014814815,0.07962963,0.100222222,0.098888889,0.800888889
10/5/12,0.049586777,0.165289256,0.027818182,0.059272727,0.912909091
10/19/12,0.05,0.140909091,0.192636364,0.058772727,0.748636364
11/2/12,-0.0125,0.05,0.145918182,0.040036364,1
11/16/12,0.000271739,0.075271739,0.0992,0.0213,0.8795
11/30/12,0.013043478,0.100543478,0.051434783,0.026608696,0.921956522
12/14/12,0.031877214,0.093270366,0.067409091,0.026,0.906590909
12/28/12,0.027272727,0.090909091,0.0536,0.1454,0.801
1/11/13,0.010606061,0.126325758,0.044875,0.0355,0.919625
1/25/13,-0.009301347,0.162006975,0.072333333,0.109857143,0.817809524
2/8/13,-0.028724747,0.13285534,0.080055556,0.0706,0.9294
2/22/13,-0.048148148,0.103703704,0.087777778,0.120777778,0.791333333
3/8/13,0.077070707,0.168383838,0.0446,0.106388889,0.9554
3/22/13,-0.084615385,0.169230769,0.114230769,0.092,0.793769231
4/5/13,0.002380952,0.026190476,0.090142857,0.068142857,0.841714286
4/19/13,-0.042857143,0.3,0.060142857,0.166428571,0.773428571
5/3/13,0.008333333,0.1,0.082166667,0.06,0.857833333
5/17/13,0.064166667,0.24,0.066083334,0.0586,1
5/31/13,0.12,0.38,0.05,0.0572,0.8928
6/14/13,-0.061904762,0.195238095,0.172571429,0.027857143,0.799571429
6/28/13,0.004166667,0.008333333,0.140835498,0.14875,0.85125
7/12/13,0.019318182,0.031628788,0.109099567,0.104965909,1
7/26/13,0.034469697,0.054924242,0.077363636,0.061181818,0.861454545
8/9/13,0.072727273,0.109090909,0.084818182,0.083090909,0.832090909
8/23/13,0.030246914,0.137037037,0.156888889,0.140444444,0.702888889
9/6/13,0.073426573,0.369114219,0.044384615,0.019923077,0.858769231
9/20/13,-0.048958333,0.319270833,0.0549375,0.065625,0.8795
10/4/13,-0.0609375,0.014285714,0.147571429,0.125571429,0.726857143
10/18/13,-0.072916667,0.294791667,0.09175,0.1289375,0.7793125
