,polarity,subjectivity,pos,neg,neu
4/18/14,-0.008856421,0.171404521,0.13,0.115888889,0.754111111
5/2/14,0.165,0.285,0.09265625,0.111,0.889
5/16/14,0.093883929,0.246071428,0.0553125,0.09375,0.851
5/30/14,0.022767857,0.207142857,0.0091875,0.094375,0.8965
6/13/14,0.0375,0.075,0.0749375,0.0145,0.9105625
6/27/14,0.178309885,0.229022367,0.107714286,0.053357143,0.838928571
7/11/14,0.100340136,0.284353741,0.047857143,0.076,0.876190476
7/25/14,0.042857143,0.170634921,0.056928572,0.061777778,0.938222222
8/8/14,0.103388799,0.206150794,0.066,0.079,0.783571429
8/22/14,0.163920455,0.241666667,0.111875,0.028,0.860125
9/5/14,0.015151515,0.050505051,0.053777778,0.053277778,0.892944444
9/19/14,0.03125,0.04375,0.021375,0.0225,0.956125
10/3/14,0.147802198,0.209340659,0.134230769,0.055461538,0.810307692
10/17/14,0.070909091,0.666363636,0.0735,0.081695055,0.9265
10/31/14,0.199744898,0.405102041,0.081357143,0.107928571,0.810714286
11/14/14,0.02,0.085,0.1463,0.114,0.7397
11/28/14,0.046904762,0.156785715,0.108078572,0.035142857,0.964857143
12/12/14,0.073809524,0.228571429,0.069857143,0.122428571,0.807714286
12/26/14,0.08,0.16,0.2738,0.0688,0.6574
1/9/15,0.024793388,0.128099174,0.071681818,0.1235,0.804818182
1/23/15,0.021920504,0.168017841,0.083714286,0.064857143,0.851428571
2/6/15,0.019047619,0.207936508,0.077373272,0.178333333,0.821666667
2/20/15,0.05601173,0.179178886,0.071032258,0.045483871,0.883451613
3/6/15,0.009090909,0.196969697,0.057,0.0262,0.916866667
3/20/15,0.007170974,0.248399436,0.075,0.082176471,0.842882353
4/3/15,0.024793388,0.082644628,0.108,0.082181818,0.809818182
4/17/15,0.062711324,0.160733652,0.039473684,0.045263158,0.915263158
5/1/15,0.039377053,0.107104794,0.026942725,0.0416,0.9584
5/15/15,0.016042781,0.053475936,0.014411765,0.102352941,0.824411765
5/29/15,-0.023878788,0.127515152,0.1052,0.04748,0.84732
6/12/15,0.036951144,0.131106988,0.006809524,0.115047619,0.878142857
6/26/15,0.06227904,0.160953283,0.084208333,0.049,0.86675
7/10/15,0.201111111,0.243333333,0.158444444,0.074666667,0.766888889
7/24/15,-0.060634921,0.13547619,0.077866667,0.156933333,0.7652
8/7/15,0.034730114,0.082954545,0.1211875,0.0663125,0.78125
8/21/15,0.057990057,0.232102272,0.124569444,0.4025,0.5975
9/4/15,0.08125,0.38125,0.127951389,0.1255,0.8745
9/18/15,0.094886364,0.295454546,0.131333333,0.174666667,0.694
10/2/15,0.108522727,0.209659091,0.0805,0.033125,0.8865
10/16/15,0.081818182,0.2,0.157,0.045909091,0.797090909
10/30/15,0.013636363,0.115384615,0.019384615,0.044909091,0.980615385
11/13/15,-0.054545455,0.036363636,0.018470086,0.043909091,0.956090909
11/27/15,-0.064646465,0.141919192,0.017555556,0.049333333,0.710888889
12/11/15,0.1,0.2,0.045,0.048823529,0.955
12/25/15,0.15,0.25,0.046921569,0.048313726,0.810833334
1/8/16,0.2,0.3,0.048843137,0.047803922,0.666666667
1/22/16,0.049064171,0.128743316,0.050764706,0.047294118,0.784294118
2/5/16,0.097222222,0.1125,0.159083333,0.043666667,0.713916667
2/19/16,0.013194445,0.15,0.096791667,0.0695,0.4305
3/4/16,-0.070833333,0.216666667,0.0345,0.1225,0.676333333
3/18/16,-0.061458333,0.173611111,0.043416667,0.117625,0.5
4/1/16,-0.052083333,0.130555556,0.052333333,0.11275,0.75
4/15/16,-0.042708333,0.0875,0.06125,0.107875,0.580875
4/29/16,-0.033333333,0.033333333,0.093825,0.114895833,0.666666667
5/13/16,-0.068282828,0.33979798,0.1264,0.121916667,0.8736
5/27/16,0.128787879,0.209090909,0.1552,0.1289375,0.8448
6/10/16,0.009090909,0.213636364,0.137114286,0.135958333,0.5
6/24/16,-0.018939394,0.184090909,0.119028571,0.142979167,1
7/8/16,-0.046969697,0.154545455,0.100942857,0.15,0.85
7/22/16,-0.075,0.125,0.082857143,0.2025,0.75
8/5/16,-0.0625,0.145833334,0.064771429,0.255,1
8/19/16,-0.05,0.166666667,0.046685714,0.3075,1
9/2/16,0.1,0.1,0.0286,0.36,0.9714
9/16/16,0.108333333,0.108333333,0.0413,0.4125,0.8337
9/30/16,0.116666667,0.116666667,0.054,0.465,0.696
10/14/16,0.125,0.125,0.046,0.5175,0.704
10/28/16,0.023611111,0.160648148,0.115166667,0.57,0.43
11/11/16,-0.077777778,0.196296296,0.184333333,0.044,0.771666667
11/25/16,-0.05,0.196230158,0.173857143,0.08625,0.7755
12/9/16,-0.022222222,0.196164021,0.163380952,0.1285,0.779333334
12/23/16,0.005555556,0.196097883,0.152904762,0.17075,0.783166667
1/6/17,0.033333333,0.196031746,0.142428571,0.213,0.787
1/20/17,0.061111111,0.195965608,0.131952381,0.229666667,1
2/3/17,0.088888889,0.195899471,0.12147619,0.246333333,0.5
2/17/17,0.116666667,0.195833333,0.111,0.263,0.639
3/3/17,-0.05,0.033333333,0.139,0.279666667,0.720333333
3/17/17,-0.125,0.154166667,0.167,0.28325,0.833
3/31/17,-0.2,0.275,0.122070175,0.286833333,0.713166667
4/14/17,-0.086842106,0.3,0.077140351,0.212600877,1
4/28/17,0.026315789,0.065789474,0.032210526,0.138368421,0.829421053
5/12/17,0.039546784,0.082894737,0.107,0.023428571,0.726714286
5/26/17,0.052777778,0.1,0.078666667,0.051666667,0.536333333
6/9/17,0.14690171,0.201282052,0.158375,0.044794872,0.841625
6/23/17,0.241025641,0.302564103,0.139461538,0.037923077,0.745692308
7/7/17,0.029356061,0.080492424,0.023125,0.07075,0.906125
7/21/17,0.05469697,0.199090909,0.086,0.034636364,0.879363636
8/4/17,-0.111111111,0.197777778,0.083846154,0.036,0.764
8/18/17,-0.092938543,0.269275539,0.081692308,0.035974359,0.632
9/1/17,-0.074765975,0.340773301,0.079538461,0.035948718,0.5
9/15/17,-0.056593407,0.412271062,0.077384615,0.035923077,0.809769231
