,polarity,subjectivity,max_polarity
2012-01-01,0.0,0.0,0.0
2012-01-08,0.0,0.0,0.0
2012-01-15,0.0,0.0,0.0
2012-01-22,0.0,0.0,0.0
2012-01-29,0.0,0.0,0.0
2012-02-05,0.0,0.0,0.0
2012-02-12,0.0,0.0,0.0
2012-02-19,0.0,0.0,0.0
2012-02-26,0.0,0.0,0.0
2012-03-04,0.0,0.0,0.0
2012-03-11,0.0,0.0,0.0
2012-03-18,0.0,0.0,0.0
2012-03-25,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0
2012-04-08,0.0,0.0,0.0
2012-04-15,0.0,0.0,0.0
2012-04-22,0.0,0.0,0.0
2012-04-29,0.0,0.0,0.0
2012-05-06,0.0,0.0,0.0
2012-05-13,0.0,0.0,0.0
2012-05-20,0.0,0.0,0.0
2012-05-27,0.0,0.0,0.0
2012-06-03,0.0,0.0,0.0
2012-06-10,0.0,0.0,0.0
2012-06-17,0.0,0.0,0.0
2012-06-24,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0
2012-07-08,0.0,0.0,0.0
2012-07-15,0.0,0.0,0.0
2012-07-22,0.0,0.0,0.0
2012-07-29,0.0,0.0,0.0
2012-08-05,0.0,0.0,0.0
2012-08-12,0.0,0.0,0.0
2012-08-19,0.0,0.0,0.0
2012-08-26,0.0,0.0,0.0
2012-09-02,0.0,0.0,0.0
2012-09-09,0,0,0
2012-09-16,0.0,0.0,0.0
2012-09-23,0.0,0.0,0.0
2012-09-30,0.0,0.0,0.0
2012-10-07,0.0,0.0,0.0
2012-10-14,0.0,0.0,0.0
2012-10-21,0.0,0.0,0.0
2012-10-28,0.0,0.0,0.0
2012-11-04,0.0,0.0,0.0
2012-11-11,0.0,0.0,0.0
2012-11-18,0.0,0.0,0.0
2012-11-25,0.0,0.0,0.0
2012-12-02,0.0,0.0,0.0
2012-12-09,0.0,0.0,0.0
2012-12-16,0.0,0.0,0.0
2012-12-23,0.0,0.0,0.0
2012-12-30,0.0,0.0,0.0
2013-01-06,0.0,0.0,0.0
2013-01-13,0.0,0.0,0.0
2013-01-20,0.0,0.0,0.0
2013-01-27,0.0,0.0,0.0
2013-02-03,0.0,0.0,0.0
2013-02-10,0.0,0.0,0.0
2013-02-17,0.0,0.0,0.0
2013-02-24,0.0,0.0,0.0
2013-03-03,0.0,0.0,0.0
2013-03-10,0.0,0.0,0.0
2013-03-17,0.0,0.0,0.0
2013-03-24,0.0,0.0,0.0
2013-03-31,0.0,0.0,0.0
2013-04-07,0.0,0.0,0.0
2013-04-14,0.0,0.0,0.0
2013-04-21,0.0,0.0,0.0
2013-04-28,0.0,0.0,0.0
2013-05-05,0.0,0.0,0.0
2013-05-12,0.0,0.0,0.0
2013-05-19,0.0,0.0,0.0
2013-05-26,0.0,0.0,0.0
2013-06-02,0.0,0.0,0.0
2013-06-09,0.0,0.0,0.0
2013-06-16,0.0,0.0,0.0
2013-06-23,0.0,0.0,0.0
2013-06-30,0.0,0.0,0.0
2013-07-07,0.0,0.0,0.0
2013-07-14,0.0,0.0,0.0
2013-07-21,0.0,0.0,0.0
2013-07-28,0.0,0.0,0.0
2013-08-04,0.0,0.0,0.0
2013-08-11,0.0,0.0,0.0
2013-08-18,0.0,0.0,0.0
2013-08-25,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0
2013-09-08,0.0,0.0,0.0
2013-09-15,0.0,0.0,0.0
2013-09-22,0.0,0.0,0.0
2013-09-29,0.0,0.0,0.0
2013-10-06,0.0,0.0,0.0
2013-10-13,0.0,0.0,0.0
2013-10-20,0.0,0.0,0.0
2013-10-27,0.0,0.0,0.0
2013-11-03,0.0,0.0,0.0
2013-11-10,0.0,0.0,0.0
2013-11-17,0.0,0.0,0.0
2013-11-24,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0
2013-12-08,0.0,0.0,0.0
2013-12-15,0.0,0.0,0.0
2013-12-22,0.0,0.0,0.0
2013-12-29,0.0,0.0,0.0
2014-01-05,0.0,0.0,0.0
2014-01-12,0.0,0.0,0.0
2014-01-19,0.0,0.0,0.0
2014-01-26,0.0,0.0,0.0
2014-02-02,0.0,0.0,0.0
2014-02-09,0.0,0.0,0.0
2014-02-16,0.0,0.0,0.0
2014-02-23,0.0,0.0,0.0
2014-03-02,0.0,0.0,0.0
2014-03-09,0.0,0.0,0.0
2014-03-16,0.0,0.0,0.0
2014-03-23,0.0,0.0,0.0
2014-03-30,0.06744791666666666,0.5078125,0.4166666666666667
2014-04-06,0.0,0.02424242424242424,0.0
2014-04-13,0.02487373737373737,0.1912457912457912,1.0
2014-04-20,-0.007246162927981114,0.14024006296733568,0.13636363636363635
2014-04-27,0.1323529411764706,0.2264705882352941,0.55
2014-05-04,0.0,0.0,0.0
2014-05-11,-0.003289473684210526,0.03947368421052632,0.0625
2014-05-18,0.07272727272727274,0.10909090909090907,0.4
2014-05-25,0.038095238095238085,0.07142857142857142,0.2857142857142857
2014-06-01,-0.01593406593406592,0.1725274725274725,0.0
2014-06-08,0.05555555555555555,0.11574074074074073,0.25
2014-06-15,0.045933014354066985,0.1110047846889952,0.4
2014-06-22,0.06498316498316498,0.26167227833894496,0.25
2014-06-29,0.1998677248677249,0.1791005291005291,1.0
2014-07-06,0.0,0.03333333333333333,0.0
2014-07-13,0.2076719576719577,0.2507936507936508,1.0
2014-07-20,0.03445378151260504,0.3373949579831933,0.19285714285714284
2014-07-27,0.0,0.0,0.0
2014-08-03,0.03571428571428571,0.10714285714285714,0.45
2014-08-10,0.013636363636363636,0.045454545454545456,0.13636363636363635
2014-08-17,0.01856060606060606,0.1840909090909091,0.15
2014-08-24,0.14545454545454545,0.2215686274509804,1.0
2014-08-31,0.0,0.0,0.0
2014-09-07,0.0019886363636363626,0.07208017676767678,0.13636363636363635
2014-09-14,0.10602028690263984,0.19958832017655548,0.5
2014-09-21,0.02,0.04,0.2
2014-09-28,0.06885714285714288,0.14085714285714285,0.4
2014-10-05,0.08714285714285715,0.1938095238095238,0.3
2014-10-12,-0.02265361952861953,0.1940867003367003,0.13636363636363635
