,polarity,subjectivity,pos,neg,neu
11/2/12,0.166666667,0.166666667,0.293333333,0.082333333,0.624333333
11/16/12,0.080952381,0.257142857,0.2922,0.131333333,0.641933333
11/30/12,-0.004761904,0.347619048,0.291066667,0.180333333,0.659533333
12/14/12,-0.09047619,0.438095238,0.289933333,0.229333333,0.677133333
12/28/12,-0.176190476,0.528571429,0.2888,0.278333333,0.694733333
1/11/13,-0.261904762,0.619047619,0.287666667,0.327333333,0.712333333
1/25/13,-0.347619047,0.70952381,0.364666667,0.376333333,0.635333333
2/8/13,-0.433333333,0.8,0.280833334,0.425333333,0.574666667
2/22/13,0.136363636,0.454545455,0.197,0.426166667,0.803
3/8/13,0.114993687,0.39731692,0.115,0.427,0.458
3/22/13,0.093623737,0.340088384,0.15125,0.335020833,0.63525
4/5/13,0.072253788,0.282859849,0.1875,0.243041667,0.8125
4/19/13,0.050883838,0.225631313,0.199958334,0.1510625,1
5/3/13,0.029513889,0.168402778,0.212416667,0.059083333,0.7285
5/17/13,0.166666667,0.25462963,0.023111111,0.046333333,0.930555556
5/31/13,-0.181818182,0.377272727,0.019769841,0.251,0.749
6/14/13,-0.112698413,0.39047619,0.016428571,0.190285714,0.793285714
6/28/13,-0.080357143,0.347023809,0.026868067,0.180630952,0.862190476
7/12/13,-0.048015873,0.303571428,0.037307563,0.170976191,0.931095238
7/26/13,-0.015674603,0.260119048,0.047747058,0.161321429,1
8/9/13,0.016666667,0.216666667,0.058186554,0.151666667,0.848333333
8/23/13,0.023093682,0.20174292,0.06862605,0.1296875,1
9/6/13,0.029520697,0.186819172,0.079065546,0.107708334,0.97875
9/20/13,0.035947712,0.171895425,0.089505042,0.085729167,0.9575
10/4/13,0.042374728,0.156971678,0.099944537,0.06375,0.93625
10/18/13,0.048801743,0.14204793,0.110384033,0.069433823,1
11/1/13,0.055228758,0.127124183,0.120823529,0.075117647,0.804117647
11/15/13,0.099346405,0.19869281,0.167058824,0.047235294,0.785705882
11/29/13,0.046363636,0.112727273,0.061909091,0.052,0.886090909
12/13/13,0.058964646,0.149873738,0.0184,0.1372,0.6442
12/27/13,0.071565657,0.187020202,0.09745,0.084266666,0.718183334
1/10/14,0.084166667,0.224166667,0.1765,0.031333333,0.792166667
1/24/14,0.0546875,0.1171875,0.20475,0.111375,0.683875
2/7/14,0.08984375,0.12109375,0.13021875,0.0610625,1
2/21/14,0.125,0.125,0.0556875,0.01075,0.9335625
3/7/14,0.084090909,0.313636364,0.09464375,0.027675,1
