,AAPL,TSLA,GOOGL,MSFT,WDC
2011-01-03,47.081429,26.620001000000002,302.47747799999996,27.98,34.139998999999996
2011-01-04,47.327145,26.67,301.361359,28.09,32.990002000000004
2011-01-05,47.714287,26.83,304.83984399999997,28.0,32.790001000000004
2011-01-06,47.675713,27.879998999999998,307.057068,28.82,33.009997999999996
2011-01-07,48.017143,28.24,308.528534,28.6,33.029999
2011-01-10,48.921428999999996,28.450001,307.412415,28.219998999999998,32.84
2011-01-11,48.805714,26.959999,308.313324,28.110001,32.560001
2011-01-12,49.202858,26.959999,308.743744,28.549999,32.950001
2011-01-13,49.382858,26.219998999999998,308.653656,28.190001000000002,32.75
2011-01-14,49.782856,25.75,312.402405,28.299999,33.439999
2011-01-18,48.664288,25.639999,320.135132,28.66,33.939999
2011-01-19,48.405716,24.030001000000002,316.191193,28.469998999999998,32.970001
2011-01-20,47.525715000000005,22.620001000000002,313.6987,28.35,31.77
2011-01-21,46.674285999999995,23.040001,306.221222,28.02,31.51
2011-01-24,48.207142,24.49,305.845856,28.379998999999998,32.450001
2011-01-25,48.771427,24.68,310.26525899999996,28.450001,32.299999
2011-01-26,49.121429,24.75,308.558563,28.780001000000002,33.73
2011-01-27,49.029999,24.92,308.70370499999996,28.870001000000002,34.75
2011-01-28,48.014286,24.01,300.79580699999997,27.75,33.939999
2011-01-31,48.474284999999995,24.1,300.48046899999997,27.73,34.02
2011-02-01,49.290001000000004,23.91,305.825836,27.99,34.48
2011-02-02,49.188572,23.940001000000002,306.306305,27.940001000000002,36.389998999999996
2011-02-03,49.062859,23.629998999999998,305.38037099999997,27.65,35.98
2011-02-04,49.5,23.459999,305.79580699999997,27.77,36.209998999999996
2011-02-07,50.268570000000004,23.07,307.452454,28.200001,36.34
2011-02-08,50.742859,24.49,309.49951200000004,28.280001000000002,36.360001000000004
2011-02-09,51.165714,23.209999,308.558563,27.969998999999998,35.740002000000004
2011-02-10,50.648571000000004,23.219998999999998,308.528534,27.5,35.16
2011-02-11,50.978573,23.25,312.56256099999996,27.25,34.419998
2011-02-14,51.311428,23.08,314.389404,27.23,34.66
2011-02-15,51.414288,22.84,312.38739,26.959999,34.16
2011-02-16,51.875713,24.73,312.42242400000003,27.02,33.740002000000004
2011-02-17,51.185715,23.6,312.942932,27.209999,33.650002
2011-02-18,50.080002,23.18,315.355347,27.059998999999998,33.240002000000004
2011-02-22,48.372856,21.870001000000002,305.4104,26.59,32.099998
2011-02-23,48.945713,21.83,305.965973,26.59,30.75
2011-02-24,48.982857,22.530001000000002,304.714722,26.77,30.690001000000002
2011-02-25,49.737144,23.610001,305.325317,26.549999,31.190001000000002
2011-02-28,50.458572,23.889999,307.007019,26.58,30.58
2011-03-01,49.901428,23.940001000000002,300.680695,26.16,29.440001000000002
2011-03-02,50.302856,24.02,300.69570899999997,26.08,29.75
2011-03-03,51.365715,24.360001,305.085083,26.200001,30.360001
2011-03-04,51.42857,24.950001,300.610596,25.950001,30.01
2011-03-07,50.765713,24.940001000000002,296.126129,25.719998999999998,34.68
2011-03-08,50.822857,24.66,296.45144700000003,25.91,36.290001000000004
2011-03-09,50.352856,24.719998999999998,296.18118300000003,25.889999,35.5
2011-03-10,49.524284,24.01,290.44043,25.41,34.32
2011-03-11,50.284286,24.07,288.643646,25.68,34.400002
2011-03-14,50.508571999999994,23.25,285.280273,25.690001000000002,33.779999
2011-03-15,49.347141,22.950001,285.065063,25.389999,33.689999
2011-03-16,47.144287,22.82,278.828827,24.790001,32.860001000000004
2011-03-17,47.805714,22.809998999999998,280.96096800000004,24.780001000000002,33.639998999999996
2011-03-18,47.238571,22.959999,280.81082200000003,24.799999,33.889998999999996
2011-03-21,48.471428,22.73,288.538544,25.33,34.380001
2011-03-22,48.742859,22.190001000000002,288.948944,25.299999,34.209998999999996
2011-03-23,48.455715000000005,22.209999,291.371368,25.540001,34.400002
2011-03-24,49.281428999999996,22.33,293.738739,25.809998999999998,36.09
2011-03-25,50.220001,22.75,290.16015600000003,25.620001000000002,37.389998999999996
2011-03-28,50.062859,23.25,287.96795699999996,25.41,37.060001
2011-03-29,50.137142,23.92,291.156158,25.49,37.049999
2011-03-30,49.804287,23.709999,291.211212,25.610001,37.709998999999996
2011-03-31,49.787144,27.75,293.673676,25.389999,37.290001000000004
2011-04-01,49.222858,26.66,296.196198,25.48,38.18
2011-04-04,48.741428000000006,25.83,294.134125,25.549999,37.299999
2011-04-05,48.412857,26.700001,284.829834,25.780001000000002,37.029999
2011-04-06,48.291428,26.49,287.37737999999996,26.15,37.669998
2011-04-07,48.297142,27.24,290.290283,26.200001,37.799999
2011-04-08,47.865715,26.49,289.369354,26.07,38.799999
2011-04-11,47.257141,25.27,288.973969,25.98,38.740002000000004
2011-04-12,47.485714,24.65,285.590576,25.639999,38.130001
2011-04-13,48.018570000000004,24.93,288.428436,25.629998999999998,37.650002
2011-04-14,47.488571,25.139999,289.544556,25.42,38.380001
2011-04-15,46.779999,25.58,265.61560099999997,25.370001000000002,38.740002000000004
2011-04-18,47.407143,25.030001000000002,263.683685,25.08,38.669998
2011-04-19,48.265713,25.16,261.026031,25.15,39.509997999999996
2011-04-20,48.915714,25.75,263.128143,25.76,40.650002
2011-04-21,50.099998,26.74,262.81280499999997,25.52,41.240002000000004
2011-04-25,50.43,26.389999,262.787781,25.610001,40.459998999999996
2011-04-26,50.060001,26.93,266.676666,26.190001000000002,40.82
2011-04-27,50.021427,27.08,269.149139,26.379998999999998,39.860001000000004
2011-04-28,49.535713,27.66,269.254242,26.709999,40.240002000000004
2011-04-29,50.018570000000004,27.6,272.32232700000003,25.92,39.799999
2011-05-02,49.468571000000004,27.450001,269.549561,25.66,39.459998999999996
2011-05-03,49.742859,26.870001000000002,267.212219,25.809998999999998,38.560001
2011-05-04,49.938572,26.690001000000002,268.163177,26.059998999999998,38.0
2011-05-05,49.535713,26.440001000000002,267.402405,25.790001,37.669998
2011-05-06,49.522858,27.120001000000002,267.917908,25.870001000000002,38.080002
2011-05-09,49.657143,27.91,269.1091,25.83,38.060001
2011-05-10,49.921428999999996,28.33,271.60159300000004,25.67,38.900002
2011-05-11,49.604286,27.07,267.992981,25.360001,38.439999
2011-05-12,49.509997999999996,27.67,267.792786,25.32,38.450001
2011-05-13,48.642857,27.549999,265.04003900000004,25.030001000000002,37.490002000000004
2011-05-16,47.614284999999995,26.6,259.46948199999997,24.57,36.380001
2011-05-17,48.02,25.959999,265.49548300000004,24.52,36.310001
2011-05-18,48.552856,26.35,265.170166,24.690001000000002,36.82
2011-05-19,48.647144,28.200001,265.8909,24.719998999999998,36.349998
2011-05-20,47.888573,27.969998999999998,262.277283,24.49,36.139998999999996
2011-05-23,47.771427,26.82,259.454468,24.17,35.849998
2011-05-24,47.455715000000005,26.719998999999998,259.389404,24.15,35.959998999999996
2011-05-25,48.111427,28.98,260.095093,24.190001000000002,35.799999
2011-05-26,47.857143,29.48,259.32431,24.67,35.66
2011-05-27,48.201427,29.549999,260.710724,24.76,35.720001
2011-05-31,49.689999,30.139999,264.77477999999996,25.01,36.650002
2011-06-01,49.35857,28.52,263.06304900000003,24.43,35.259997999999996
2011-06-02,49.442856,28.76,264.294281,24.219998999999998,35.029999
2011-06-03,49.062859,30.129998999999998,261.801788,23.91,34.959998999999996
2011-06-06,48.291428,28.700001,260.790802,24.01,34.32
2011-06-07,47.434284000000005,28.370001000000002,259.77477999999996,24.059998999999998,34.189999
2011-06-08,47.462856,27.120001000000002,259.844849,23.940001000000002,33.700001
2011-06-09,47.355713,27.620001000000002,258.623627,23.959999,33.689999
2011-06-10,46.557144,27.860001,255.01001000000002,23.709999,33.959998999999996
2011-06-13,46.657143,28.43,252.617615,24.040001,33.59
2011-06-14,47.491428000000006,28.6,254.439438,24.219998999999998,35.360001000000004
2011-06-15,46.67857,27.32,251.72672999999998,23.74,34.16
2011-06-16,46.451427,26.5,250.43544,24.0,34.25
2011-06-17,45.751427,26.5,242.75274700000003,24.26,33.470001
2011-06-20,45.045715,26.01,242.53253199999997,24.469998999999998,33.5
2011-06-21,46.471428,27.530001000000002,246.74675,24.76,34.810001
2011-06-22,46.087143,27.209999,243.74874900000003,24.65,34.57
2011-06-23,47.318573,27.709999,240.35035699999997,24.629998999999998,37.009997999999996
2011-06-24,46.621429,27.57,237.677673,24.299999,35.18
2011-06-27,47.434284000000005,27.459999,241.64164700000003,25.200001,34.900002
2011-06-28,47.894287,28.110001,247.072067,25.799999,35.59
2011-06-29,47.720001,28.290001,249.034027,25.620001000000002,35.93
2011-06-30,47.952858,29.129998999999998,253.44345099999998,26.0,36.380001
2011-07-01,49.037144,29.02,260.77578700000004,26.02,36.639998999999996
2011-07-05,49.918571,29.139999,266.486481,26.030001000000002,36.779999
2011-07-06,50.251427,28.959999,267.947937,26.33,37.389998999999996
2011-07-07,51.028572,29.73,273.573578,26.77,38.509997999999996
